Nom de la culture,Nom de la pathologie,Description,Symptômes,Recommandations détaillées,Régions de culture en France
Pommier,Tavelure du pommier (Apple___Apple_scab),Maladie fongique causée par Venturia inaequalis affectant feuilles et fruits.,"Taches olive à brun foncé sur feuilles, déformation des fruits, chute prématurée.","Élimination des feuilles mortes, taille pour aérer, traitements fongicides préventifs (bouillie bordelaise), variétés résistantes.","Nouvelle-Aquitaine, Occitanie, Auvergne-Rhône-Alpes, Pays de la Loire"
Pommier,Pourriture noire (Apple___Black_rot),Maladie fongique causée par Botryosphaeria obtusa touchant fruits et rameaux.,"Taches circulaires brunes sur fruits, chancres sur branches.","Suppression des fruits momifiés, taille sanitaire, traitements fongicides adaptés.","Nouvelle-Aquitaine, Occitanie, Auvergne-Rhône-Alpes"
Pommier,Rouille du cèdre (Apple___Cedar_apple_rust),Maladie fongique nécessitant un hôte intermédiaire (genévrier).,Taches jaunes sur feuilles évoluant en pustules orangées.,"Éloigner genévriers, surveillance printemps, traitements fongicides préventifs.","Grand Est, Bourgogne-Franche-Comté"
Pommier,Sain (Apple___healthy),Culture sans symptôme pathologique.,"Feuilles vertes uniformes, fruits sains.",Maintien d’une fertilisation équilibrée et surveillance régulière.,"Nouvelle-Aquitaine, Occitanie, Auvergne-Rhône-Alpes, Pays de la Loire"
Myrtille,Sain (Blueberry___healthy),Plantation sans maladie détectée.,"Croissance normale, feuillage vert homogène.","Sol acide adapté, irrigation maîtrisée, surveillance maladies racinaires.","Nouvelle-Aquitaine, Auvergne-Rhône-Alpes, Bretagne"
Cerisier,Sain (Cherry_(including_sour)___healthy),Arbre sans infection visible.,"Fruits fermes, feuillage sain.","Taille annuelle, contrôle humidité.","Provence-Alpes-Côte d’Azur, Occitanie, Auvergne-Rhône-Alpes"
Cerisier,Oïdium (Cherry_(including_sour)___Powdery_mildew),Maladie fongique superficielle touchant feuilles et jeunes pousses.,"Duvet blanc poudreux sur feuilles, déformation.","Traitements soufrés, taille d’aération, éviter excès d’azote.","Occitanie, Provence-Alpes-Côte d’Azur, Auvergne-Rhône-Alpes"
Maïs,Cercosporiose (Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot),Maladie fongique causant lésions foliaires.,Longues lésions grisâtres rectangulaires.,"Rotation des cultures, variétés tolérantes, traitement fongicide si nécessaire.","Grand Est, Nouvelle-Aquitaine, Occitanie"
Maïs,Rouille commune (Corn_(maize)___Common_rust),Maladie fongique produisant pustules orangées.,Petites pustules brunes/orangées sur feuilles.,"Choix variétés résistantes, surveillance humidité.","Grand Est, Nouvelle-Aquitaine"
Maïs,Helminthosporiose (Corn_(maize)___Northern_Leaf_Blight),Maladie fongique causant grandes lésions elliptiques.,Taches gris-vert allongées sur feuilles.,"Rotation culturale, destruction résidus.","Grand Est, Bourgogne-Franche-Comté"
